iter	Passed	Remaining
231	598	1982
232	600	1975
233	601	1970
234	604	1967
235	606	1961
236	608	1957
237	609	1951
238	610	1944
239	612	1939
240	613	1932
241	614	1925
242	617	1923
243	620	1923
244	622	1919
245	624	1913
246	625	1907
247	627	1901
248	628	1895
249	629	1888
250	631	1884
251	633	1880
252	635	1875
253	637	1871
254	638	1866
255	640	1860
256	641	1853
257	642	1848
258	645	1846
259	647	1843
260	649	1839
261	651	1835
262	653	1830
263	654	1824
264	655	1818
265	656	1812
266	659	1810
267	661	1806
268	663	1802
269	664	1797
270	666	1793
271	667	1787
272	669	1782
273	670	1776
274	671	1771
275	673	1767
276	675	1763
277	677	1759
278	679	1756
279	681	1752
280	682	1747
281	684	1742
282	686	1740
283	689	1738
284	691	1735
285	693	1730
286	695	1726
287	729	1803
288	730	1798
289	732	1792
290	736	1794
291	738	1790
292	740	1785
293	741	1780
294	743	1775
295	744	1771
296	746	1766
297	747	1760
298	750	1758
299	753	1757
300	755	1754
301	757	1749
302	758	1745
303	760	1740
304	762	1736
305	766	1737
306	770	1739
307	772	1735
308	774	1731
309	775	1726
310	778	1724
311	780	1720
312	782	1717
313	784	1714
314	786	1710
315	787	1705
316	788	1699
317	790	1694
318	791	1690
319	794	1688
320	796	1684
321	798	1680
322	799	1676
323	801	1671
324	802	1667
325	804	1662
326	806	1660
327	808	1656
328	810	1653
329	812	1649
330	813	1644
331	814	1639
332	816	1634
333	817	1629
334	818	1624
335	821	1622
336	822	1618
337	824	1615
338	826	1611
339	827	1606
340	828	1601
341	829	1596
342	831	1591
343	832	1586
344	833	1582
345	834	1578
346	836	1573
347	838	1570
348	839	1566
349	841	1561
350	842	1557
351	843	1552
352	844	1547
353	845	1543
354	847	1540
355	850	1537
356	851	1534
357	853	1530
358	854	1526
359	856	1522
360	857	1518
361	859	1514
362	860	1510
363	862	1506
364	864	1504
365	866	1500
366	868	1497
367	869	1493
368	871	1489
369	872	1485
370	873	1481
371	875	1477
372	878	1476
373	880	1473
374	882	1470
375	883	1467
376	885	1463
377	887	1460
378	888	1456
379	890	1453
380	892	1450
381	895	1448
382	897	1446
383	899	1442
384	900	1438
385	902	1434
386	903	1431
387	906	1429
388	907	1425
389	909	1421
390	911	1419
391	914	1418
392	916	1415
393	918	1413
394	920	1410
395	923	1408
396	924	1404
397	965	1460
398	967	1457
399	969	1454
400	971	1450
401	972	1447
402	974	1443
403	976	1440
404	977	1436
405	979	1432
406	981	1430
407	983	1426
408	984	1422
409	985	1418
410	987	1415
411	989	1412
412	991	1409
413	992	1405
414	995	1402
415	996	1399
416	998	1395
417	999	1392
418	1001	1388
419	1002	1384
420	1004	1381
421	1006	1378
422	1007	1374
423	1010	1372
424	1012	1369
425	1014	1367
426	1015	1363
427	1017	1359
428	1018	1355
429	1019	1351
430	1021	1348
431	1023	1345
432	1025	1342
433	1027	1339
434	1028	1336
435	1030	1332
436	1031	1329
437	1033	1325
438	1034	1321
439	1035	1317
440	1037	1315
441	1039	1312
442	1041	1308
443	1042	1305
444	1044	1302
445	1045	1298
446	1046	1295
447	1048	1291
448	1049	1287
449	1051	1285
